url,attribute_name,product_name,entity_name,entity_type,prediction,confidence
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/23/a5/19/60/6019a5239e7881eeaa2765b3/images/15/4e/ff/63/63ff4e15bfb143fa129e036b/2226167.png,ingredients_statement,Juice Cranberry Cocktail Pet,Hillcrest Foodservice,distributor,ingredient_statement,0.9965380430221558
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/23/a5/19/60/6019a5239e7881eeaa2765b3/images/a3/9c/ff/63/63ff9ca3c53de740f32f5b34/2397629.jpeg,in_packaging,Marzetti Apple Vinaigrette,Hillcrest Foodservice,distributor,inner_pack,0.9074880480766296
https://ordering-supplies-images-1.s3.us-east-2.amazonaws.com/454c4aa1c8ca3e4f62840467dfa42bfd-large.jpg,label_info_barcode,Nature'S Recipe 24 Pound Healthy Skin Vegetarian Recipe Dry Dog Food,J. M. Smucker,manufacturer,barcode,0.9999580383300781
https://fsa-assets.s3.us-east-2.amazonaws.com/assets/8267374feb6cf73e070d68dd8fe4fade374d18eaaa2eb6f09b4d514d55487ba3_3KS308B01__10_27f94e54-39ee-4010-8408-75cb2b2406af_160x160.jpg,open_case,"Kit, Series S308, 3 In 1, Med Heavy Ps, Black, (F, K, 12"" X 13"" Nap)",AmerCareRoyal,manufacturer,open_case,0.9997588992118835
https://ordering-supplies-images-1.s3.us-east-2.amazonaws.com/f6eebd62604644b20ca2c7f7542b8cf4-large.jpg,held,Blue Bettercreme(R),Rich Products,manufacturer,held,0.9994491934776306
https://ordering-supplies-images-1.s3.us-east-2.amazonaws.com/9bfb3a8270935424ea085bb82dd80d54-large.jpeg,nutrition_facts,Mayonnaise Extra Heavy Tub 26562 Oup,DiCarlo Foods,distributor,nutrition_label,0.9995085000991821
https://codify-assets.s3.us-east-2.amazonaws.com/catalog-images/1858737/401a991b17fb2e01c53f60cbcba05dc3.png,in_packaging,MAYONNAISE PAIL REAL,Sysco,distributor,out_of_packaging (equipments),0.6847102046012878
https://ordering-supplies-images-1.s3.us-east-2.amazonaws.com/929440a166343934adffa1b4c7c90cf1-large.jpg,nutrition_facts,"Smucker'S Cider Apple Butter, 11 Oz Jar, 12 Count Case",J. M. Smucker,manufacturer,nutrition_label,0.9998955726623535
https://ordering-supplies-images-1.s3.us-east-2.amazonaws.com/82c57b803accee97328b07d9816a5a2e-large.jpg,label_info_nutrition_label,"Bigs Hidden Valley Ranch Sunflower Seeds, 2.75 Oz",Conagra Foodservice ,manufacturer,nutrition_label,0.9999860525131226
https://ordering-supplies-images-1.s3.us-east-2.amazonaws.com/d7a91eecb472e0e3f93122470feef387-large.jpeg,inner_pack,Dressing Miracle Whip,Hillcrest Foodservice,distributor,out_of_packaging (equipments),0.4488260746002197
